智能--它是什么？	Intelligence -- what is it?
我的理论是，当我们将媒体 与这个钟摆结合之后， 摆动速度加快了， 直到摇摆 同时达到两边的极限， 这高效地模糊了， 创新和传统符号间的不同， 我们建筑师和你们公众间的不同。	So my theory is that when you apply media to this pendulum, it starts swinging faster and faster, until it's at both extremes nearly simultaneously, and that effectively blurs the difference between innovation and symbol, between us, the architects, and you, the public.
现在我们可以用全新的事物创建 瞬间产生的情绪化的符号。	Now we can make nearly instantaneous, emotionally charged symbols out of something that's brand new.
让我展示这是怎么进行的 这是我的建筑事务所最近完成的项目。	Let me show you how this plays out in a project that my firm recently completed.
我们受雇去重建这座被烧毁的建筑。	We were hired to replace this building, which burned down.
这座建筑位于小镇派恩斯的中心 小镇位于纽约州的火烧岛。	This is the center of a town called the Pines in Fire Island in New York State.
这是一个度假社区。	It's a vacation community.
我们提出了一个创新大胆的设计建议， 和这个社区出现过的任何形式的建筑都不同， 我们担心会吓到客户， 吓到社区的人们， 于是我们制作了一系列逼真的视觉图片， 把它们放到Facebook 和Instagram上， 让人们去 分享、评论、点赞，或是厌恶它。	We proposed a building that was audacious, that was different than any of the forms that the community was used to, and we were scared and our client was scared and the community was scared, so we created a series of photorealistic renderings that we put onto Facebook and we put onto Instagram, and we let people start to do what they do: share it, comment, like it, hate it.
这意味着在建筑完工前两年， 它已经是这个社区的一部分了， 所以当完工的作品和视觉图 看起来一模一样的时候， 就不会带来惊讶之感。	But that meant that two years before the building was complete, it was already a part of the community, so that when the renderings looked exactly like the finished product, there were no surprises.
这座建筑已经是社区的一个部分， 第一个夏天， 人们来到这里，在社交媒体上分享照片， 这个只想成为建筑物的建筑 变成了媒体， 因为这，这不仅仅是建筑的照片。 它们是你拍摄的建筑相片。	This building was already a part of this community, and then that first summer, when people started arriving and sharing the building on social media, the building ceased to be just an edifice and it became media, because these, these are not just pictures of a building, they're your pictures of a building.
这意味着我们不再需要希腊 来告诉我们建筑的意义。	That means we don't need the Greeks anymore to tell us what to think about architecture.
我们可以分享自己有关建筑的想法， 因为数字媒体不仅改变了 人与人间的关系， 它改变了我们和建筑的关系。	We can tell each other what we think about architecture, because digital media hasn't just changed the relationship between all of us, it's changed the relationship between us and buildings.
想象那些在Livingston的图书馆员。	Think for a second about those librarians back in Livingston.
如果今天我们要新建图书馆， 他们得知消息后会做的第一件事就是 上网去搜索"新图书馆"。	If that building was going to be built today, the first thing they would do is go online and search "new libraries."
他们会被建筑范例信息轰炸， 实验性的、创新型的、 尝试打破常规的图书馆建筑样例。	They would be bombarded by examples of experimentation, of innovation, of pushing at the envelope of what a library can be.
这些都是有力的信息冲击。	That's ammunition.
那是人们可以带着的信息冲击， 给Livingston的市长、群众， 然后说，现代图书馆没有既定的模式。	That's ammunition that they can take with them to the mayor of Livingston, to the people of Livingston, and say, there's no one answer to what a library is today.
让我们成为它的一部分。	Let's be a part of this.
丰富的实验过程 给予他们实验的自主性。	This abundance of experimentation gives them the freedom to run their own experiment.
