Bosnians protest Croatian plans for nuclear waste facility	クロアチアが核処理施設計画　ボスニア人が抗議
While the cup takes focus this weekend, Flyers have enjoyed a positive start to their league campaign, sitting top of the standings despite a 4-2 defeat in Guildford on Sunday that saw the team endure a 24-hour round bus trip.	注目の試合は今週末ではあるが、フライヤーズは往復24時間のバス移動に耐えた日曜、ギルドフォードで4-2で負けはしたが順位表でトップの座に居座り、まずはリーグ戦の幸先良いスタートを切った。
Depsite their early success, Dutiaume believes there is still room for improvement.	早期によい結果が出てはいるが、ドゥティオーム氏はチームにはまだまだ改善の余地があると確信している。
"We've had a great start to the season, but we'd still like to be better at retrieving the puck, defensively, in all three areas of the ice," he explained.	「今季、素晴らしいスタートを切れたんだけど、それでも氷上の3ゾーンすべてで守備的にパックを取り返す技術をもっと向上させたい」と彼は説明した。
That's a work in progress.	これは目下取り組んでるところだよ。
For instance, in the Nottingham game, all six players played a significant part in not only retaining possession but also getting it back when there was a turnover.	例えば、ノッティンガム戦では、6人すべての選手がパックのキープだけでなくターンオーバーで取り返す、という部分でも重要な役割を果たしたんだ。
It's a commitment to stick with the plan, and work hard in all aspects of the game.	計画に沿って、試合すべての要素に対して必死で努力するというのは覚悟がいることなんだ。
If the puck goes in people are fast to blame the goaltender or defencemen, but these are the last lines of defence.	パックがゴールに入ったらみんなすぐゴールキーパーや守備のせいにするけど、これらはディフェンスラインの最後の部分なんだよ。
You need all guys on the ice, at all times, buying into playing on both sides of the puck and this is going to be key to our success.	試合中はずっと氷上の全員がパックの両側でゲームに集中してなくちゃならないし、それが我々の成功の鍵なんだ。
Sitting top of the standings is a good place to be, but if as a group we rest on that then we're all not doing our jobs.	リーグトップの座に居るのはいいことだけど、チームとしてそれに安住してるようじゃ全員きちんと仕事してるとは言えない。
We have to fight for the right to stay up around top of the table, and it takes a commitment every night.	順位表の最上位に居続けられるように戦わなければならないし、それには毎晩の努力がいるんだ。
