India and Japan prime ministers meet in Tokyo	Die Premierminister Indiens und Japans trafen sich in Tokio.
"In taking the decision to continue to commission and to renovate the Ilmnau-Rennsteig line, the state acknowledges that this is an important connection, above all for tourism," stated Transport Secretary Klaus Sühl on Friday in Erfurt.	"Mit der Entscheidung, die Strecke Ilmenau-Rennsteig weiter zu bestellen und zu sanieren, bekennt sich das Land zu dieser vor allem für den Tourismus wichtigen Verbindung", erklärte Verkehrsstaatssekretär Klaus Sühl am Freitag in Erfurt.
He estimated the costs for the repairs to the line to be around 2.5 million euros.	Die Kosten für die Instandsetzung der Strecke bezifferte er auf etwa 2,5 Millionen Euro.
The state is taking on 75 per cent of this amount.	Von dieser Summe übernehme das Land 75 Prozent.
The contract, on the basis of which, the shuttle is to be commissioned by the state in the future as well, is currently being finalised, explained Sühl.	Der Vertrag, auf dessen Grundlage das Shuttle auch in Zukunft vom Land bestellt werden soll, werde derzeit endgültig abgestimmt, erklärte Sühl.
The ministry and Süd-Thüringen Bahn, as operators, are said to already be in agreement over the technical details.	Das Ministerium und die Südthüringen Bahn als Betreiber seien sich über die technischen Details bereits einig.
"The timetable, the vehicles used and the quality standards have thus been negotiated," said Sühl.	"Damit sind der Fahrplan, die eingesetzten Fahrzeuge und die Qualitätsstandards ausgehandelt", sagte Sühl.
The planned contract between the ministry and the train company is being concluded for a period of eleven years.	Der geplante Vertrag zwischen dem Ministerium und der Bahngesellschaft werde für eine Dauer von elf Jahren geschlossen.
The Rennsteig shuttle should therefore be commissioned as normal from December 2017.	Damit solle das Rennsteig-Shuttle am Dezember 2017 regulär bestellt werden.
The Rennsteig shuttle is a train connection between the stations of Ilmenau and Rennsteig, beloved above all by tourists.	Das Rennsteig-Shuttle ist eine vor allem bei Touristen beliebte Bahnverbindung zwischen den Bahnhöfen Ilmenau und Rennsteig.
In past months, as part of a pilot operation, there were tests to see whether the line gets used by a large enough number of people for it to continue to be commissioned as normal in the future.	In den vergangenen Monaten war im Zuge eines Pilotbetriebs getestet worden, ob die Strecke von ausreichend vielen Menschen genutzt wird, um sie in Zukunft wieder regulär zu bestellen.
The line is very run-down in places.	Die Strecke ist zudem in Teilen stark baufällig.
The rise of sex robots is real, and we should be concerned	Der Aufstieg von Sex-Robotern ist real, und wir sollten uns Sorgen machen
Just when you thought 2017 couldn't get any weirder along comes a new report on the technological developments in the sex robot sector.	Gerade als Sie dachten, dass es 2017 nicht noch verrückter werden kann, kommt ein neuer Bericht über die technologischen Entwicklungen im Bereich der Sex-Roboter.
Yep.	Ja, tatsächlich.
Sex robots are a big deal right now.	Sex-Roboter sind momentan eine große Sache.
Recently, the Foundation for Responsible Robotics (FRR) released a report looking at the development of sex robots over the next five to 10 years.	Kürzlich veröffentlichte die Foundation for Responsible Robotics (Stiftung für verantwortungsvolle Robotik) (FRR) einen Bericht über die Entwicklung von Sex-Robotern in den nächsten fünf bis zehn Jahren.
According to Noel Sharkey, emeritus professor of robotics and artificial intelligence at the University of Sheffield and co-founder of the FRR, we need to start taking their rise seriously.	Laut Noel Sharkey, emeritierter Professor für Robotik und künstliche Intelligenz an der Universität Sheffield und Mitbegründer der FRR, müssen wir anfangen, ihren Aufstieg ernst zu nehmen.
Customers can choose the robot's eye colour, nipple shape and fingernail type.	Kunden können die Augenfarbe des Roboters, seine Form der Brustwarze und den Typ von Fingernagel wählen.
"People snigger about them, but the companies are actually shipping quite a lot and we are going to see them a lot more," Mr Sharkey said at the launch of the new report.	"Die Leute machen sich über sie lustig, aber die Unternehmen liefern jede Menge davon aus, und wir werden sie noch viel häufiger zu sehen bekommen", sagte Herr Sharkey bei der Veröffentlichung seines neuen Berichts.
Modern sex dolls have evolved out of their blow-up counterparts into robots with a silicon skin that is warm to the touch - with deliberately human-like responses achieved by artificial intelligence.	Moderne Sexpuppen haben sich von ihren aufblasbaren Partnern zu Robotern mit einer Silikonhaut entwickelt, die sich warm anfühlt - mit bewusst menschlichen Reaktionen, die durch die künstliche Intelligenz erreicht werden.
The user can also "customise" their robot to suit their persuasions, choosing everything from the robot's eye colour, nipple shape to fingernail type or colour.	Der Benutzer kann seinen Roboter auch entsprechend seinen Überzeugungen "anpassen" und dabei alles auswählen, von der Augenfarbe des Roboters über die Form der Brustwarzen bis zum Typ oder der Farbe seiner Fingernägel.
But it gets even more disturbing, with many of the robots possessing "personalities" that would make a Stepford Wife look progressive.	Aber es wird noch beunruhigender, da viele Roboter die "Persönlichkeiten" besitzen, die eine Stepford-Frau progressiv aussehen lassen würden.
Modern sex dolls have evolved into robots with a silicon skin.	Moderne Sexpuppen haben sich zu Robotern mit einer Silikonhaut entwickelt.
The RealBotix robot, for example, allows users to customise their robots according to the traits they find appealing, such as shyness.	Der RealBotix-Roboter ermöglicht es zum Beispiel seinen Benutzern, ihre Roboter an die Eigenschaften anzupassen, die sie ansprechend finden wie beispielsweise Schüchternheit.
Then there are the Roxxxy Gold sex robots, developed by True Companion, which come with pre-programmed personalities, including "Frigid Farrah" that gives the impression of shyness and "Wild Wendy" with an "adventurous" personality.	Und dann gibt es da noch die von True Companion entwickelten Roxxxy Gold Sex-Roboter mit vorprogrammierten Persönlichkeiten wie "Frigid Farrah", die den Eindruck von Schüchternheit vermittelt und "Wild Wendy" mit einer "abenteuerlichen" Persönlichkeit.
"Roxxxy Gold has a personality which is matched as much as possible to your personality," the True Companion website enthuses.	"Roxxxy Gold hat eine Persönlichkeit, die Ihrer Persönlichkeit so gut wie möglich angepasst ist", schwärmt die Website von True Companion.
So she likes what you like, dislikes what you dislike, etc.	So mag sie, was Sie mögen, und sie mag nicht, was Sie nicht mögen, etc.
She also has moods during the day just like real people!	Sie hat im Laufe des Tages auch ihre Stimmungen - ganz wie wirkliche Leute!
She can be sleepy, conversational or she can 'be in the mood'!"	Sie kann müde sein, auf Konversation fixiert sein oder sie kann "in Stimmung" sein!"
There are many disturbing aspects to the rise of sex robots - not least of which is the replacement of real, human relationships - but the subservient female traits, the rapey connotations of making a move on Frigid (read: resistant) Farrah, are the most concerning.	Es gibt viele beunruhigende Aspekte bei diesem Aufstieg von Sex-Robotern - nicht zuletzt, weil sie echte menschliche Beziehungen ersetzen - aber die unterwürfigen weiblichen Eigenschaften, die Anspielungen auf Vergewaltigung, wenn man einen Schritt auf Frigid (heißt hier: widerstrebende) Farrah zugeht, beunruhigen einen am meisten.
On its website, True Companion likened Roxxxy to a vibrator, but for men.	Auf seiner Website verglich True Companion Roxxxy mit einem Vibrator, aber für Männer.
"If woman (sic) can have a vibrator, why can't men have a Roxxxy?" the website states.	"Wenn Frauen (sic) einen Vibrator haben können, warum können Männer dann keine Roxxxy haben?" heißt es auf der Website.
However, these sex robots are not a mere fetish or just another sex toy.	Allerdings sind diese Sex-Roboter nicht nur ein Fetisch oder halt eben nur ein anderes Sexspielzeug.
Their emergence and increasing sophistication points to something darker and deeper within our culture, a retreat from the ideal of gender equality toward a desire for sex with subjugation as an optional add-on.	Ihre Entstehung und ihre zunehmende Raffinesse weisen auf etwas Dunkleres und Tieferes in unserer Kultur hin, auf einen Rückzug von dem Ideal der Gleichberechtigung der Geschlechter hin zu einem Wunsch nach Sex mit Unterwerfung als optionale Zugabe.
Most men, naturally, are not going to keep sex robots, and while the FRR noted their increasing popularity, they remain, for now, on the outskirts of consumer culture.	Die meisten Männer werden selbstverständlich keine Sex-Roboter halten, und während die FRR ihre steigende Popularität anmerkt, bleiben sie dennoch vorläufig am Rande der Konsumkultur.
But what seeps in from the fringes can be highly instructive as to the tenor of the era we're living in.	Aber was aus den Randzonen durchsickert, kann in Bezug auf den Geist der Zeit, in der wir leben, sehr lehrreich sein.
And many people aren't weird or offensive until the free market gives them the permission to be so.	Und viele Leute sind nicht seltsam oder beleidigend, bis ihnen der freie Markt hierzu die Erlaubnis gibt.
There is little coincidence that these sophisticated sex robots have emerged at a time when women's rights are under threat across the globe, when there is a president in the White House who has bragged about sexually assaulting women.	Es gibt doch eine gewisse Überschneidung, dass diese hoch entwickelten Sex-Roboter in einer Zeit auftauchen, in der die Rechte von Frauen weltweit bedroht sind, in der es im Weißen Haus einen Präsidenten gibt, der damit geprahlt hat, Frauen sexuell angegriffen zu haben.
The most chilling aspect of the TV series The Handmaid's Tale isn't the graphic imagery, the noosed bodies and gouged eyes, but just how realistic that vision feels.	Der abschreckendste Aspekt der Fernsehserie 'The Handmaid's Tale' ('Der Report der Magd') sind nicht die grafischen Bilder, die verschlungenen Körper und die ausgestochenen Augen, sondern wie realistisch diese Vision wirkt.
The Republic of Gilead is a leap, but, right now, it doesn't feel like a large one.	Die Republik von Gilead ist ein Sprung, aber im Augenblick fühlt sich dies nicht wie ein großer Sprung an.
