Biker reagiert blitzschnell und verhindert Schlimmeres	Biker reacts lightning fast and prevents worse.
Gleichzeitig erklärte Grindel erneut, dass Erdogan nicht für die Werte des Fußballs und des DFB stehe.	Grindel also explained again that Erdogan does not stand for the values of football and the DFB.
Dieser hatte mit scharfen Worten einen Rassismus gegenüber Özil und Ilkay Gündogan angeprangert.	The latter was very critical of the racism against Özil and Ilkay Gündogan.
Unser in Deutschland geborener und aufgewachsener Mesut Özil und unser Ilkay.	Our Mesut Özil, born and raised in Germany, and our Ilkay.
Sie haben sie aus dieser Gesellschaft ausgegrenzt, weil sie sich mit mir in England fotografieren ließen", sagte Erdogan am Samstag in der Domstadt.	They excluded them from this association because they allowed me to be photographed with them in England," said Erdogan in Domstadt on Saturday.
Ehrlich gesagt konnte ich es als ihr Präsident nicht verdauen, dass unsere zwei jungen Männer, die bis in die deutsche Nationalmannschaft aufgestiegen sind, ausgegrenzt wurden.	Frankly speaking, as their president, I could not accept the fact that our two young men, who had been risen to the German national team, were excluded.
Grindel verwies auf Gündogans Aussage, dass dieser sich im Gegensatz zu Özil nach der WM-Affäre, die durch Fotos der beiden mit Erdogan ihren Anfang genommen hatte, "vernünftig vom DFB behandelt" gefühlt habe.	Grindel pointed at Gündogan's statement that in contrast to Özil, after the World Cup affair, which had been taken photos of the two with Erdogan, he felt that he was "reasonably treated by the DFB".
Gleichzeitig kündigte er an, sich zukünftig vor Spieler stellen zu wollen.	He also said he wanted to stand up for players in future.
Dass jemand sagt: Wenn ich gewinne, bin ich Deutscher, wenn ich verliere, bin ich Migrant - das geht nicht.	That thing they say: If I win - I’m German, if I lose - I’m a migrant - that will not work.
"Dass er einen solchen Eindruck hat, bedauere ich sehr", sagte Grindel.	I am very sorry that he had such an impression, said Grindel.
Wir hätten Mesut mehr verteidigen müssen, das habe ich immer gesagt.	I’ve always said that we had to defend Mesut more.
Eine Grundlage für eine Rückkehr Özils ins Nationalteam sieht er aber auch nicht.	Yet he does not see grounds for Özil to return to the national team.
Als Folgerung soll nun neben dem gebürtigen Brasilianer Cacau und Celia Sasic, die familiäre Wurzeln in Kamerun hat, ein zusätzlicher Integrationsbeauftragter berufen werden.	As a consequence, in addition to the native Brazilian Cacau and Celia Sasic of Cameroon ancestry, now should be appointed an additional integration representative.
"Wenn da einer ohne Migrationshintergrund deutlich in die Gesellschaft und den Fußball hineinwirkt und sagt: "Das Thema ist wichtig, da müssen wir uns kümmern", das wäre auch eine Initiative, um für eine bessere Grundlage zu sorgen für unsere Vereine vor Ort, wo Integration funktionieren muss", sagte Grindel.	If somebody without a migration background is an obvious influencer in society and football and says: The issue is an important one, we need to do something about it’, this would also be an initiative to provide a better foundation for our local teams, where integration needs to work’, Grindel said.
Trotz der Kritik an seiner Person nach dem WM-Aus und der Özil-Affäre will er im kommenden Jahr erneut für das Amt als DFB-Präsident kandidieren.	Despite the criticism of his person after the World Cup and the Özil affair, he wants to run for the post of DFB President again next year.
"Ich mache meine Arbeit und bemühe mich, sie so gut zu machen, wie es geht", sagte Grindel.	I do my work and take care I do it as well as possible, Grindel said.
Jähriger baut drei Unfälle innerhalb von drei Stunden	Elderly creates three accidents within three hours
Coburg/Rödental - Wie die Polizei berichtet, hat der 75-Jährige die Unfälle am Freitag zwischen 10 und 13 Uhr verursacht.	Coburg / Roedental - As reported by the police, on Friday between the hours of 10 and 13, the 75 year old caused the accidents.
Zunächst wurde der 75-jährige Fahrer von einer Dame an der roten Ampel im Bereich Lauterer Höhe angesprochen.	First, the 75 year old driver spoke with a lady at the red traffic light in the area of the Lauterer Höhe.
Diese teilte dem Rentner mit, dass er gegen ihr Auto gefahren wäre.	She informed the senior citizen that he had driven against her car.
Zu einem Personalienaustausch kam es aber nicht, da der 75-Jährige die Dame auf dem Parkplatz nicht mehr finden konnte.	No exchange of personal data occured as the 75 year old could no longer find the lady in the parking lot.
Eine kurze Zeit später ging bei der Polizei eine telefonische Meldung über einen Autofahrer ein, der von der Straße abgekommen und gegen einen Leitpfosten gefahren wäre.	A short time later the police received a report by phone about an automobile driver who had come off the road and driven into a reflector post.
Darauf angesprochen, wollte der Mann keine Polizei vor Ort und ist anschließend davon gefahren.	When asked, the man did not want the police on the scene and then drove off.
Danach fuhr der Rödentaler nach Hause.	Afterwards the Rödental native drove home.
Allerdings hat sich der Rentner in seinem Wohnort, in dem er seit Jahrzehnten wohnt, verfahren und beim Wenden ein Baufahrzeug gerammt.	However, the retiree in his place of residence, where he has lived for decades, got lost and while making a turn rammed a construction vehicle.
Schließlich konnte die Polizei ihn finden und anhalten.	Finally, the police were able to find and stop him.
Sein Auto wies deutliche Unfallschäden auf.	His car showed clear signs of damage from accidents.
Der 75-Jährige machte einen wirren Eindruck und konnte sich an vieles nicht mehr entsinnen.	The 75-year-old made a confusing impression and could not recall much.
Die Schaden beträgt zirka 1300 Euro.	The damages amounted to approx. 1 300 Euros.
Moorbrand in Meppen: Noch immer fast 1000 Einsatzkräfte im Einsatz.	Moorland Fire in Meppen: Still nearly 1000 forces on site.
Rund vier Wochen nach dem Ausbruch des Moorbrands auf einem Bundeswehrgelände im Emsland sind noch 980 Einsatzkräfte mit den Löscharbeiten beschäftigt.	About four weeks after the outbreak of moorland fires on a Bundeswehr site in Emsland, 980 emergency forces are still busy with firefighting operations.
Das teilte die Bundeswehr am Sonntag mit.	The federal armed forces announced this on Sunday.
Da sich die Lage einem Sprecher zufolge weiter stabil entwickelt, wurden zuletzt 70 ehrenamtliche Helfer abgezogen.	70 volunteers were recently withdrawn since, according to a spokesman, the situation continues to be stable.
Eine weitere Reduzierung der Zahl der Einsatzkräfte sei geplant, heißt es.	Also it was reported, that a further withdrawal of emergency forces is planned.
In der Nacht zum Sonntag war ein oberirdisches Feuer entdeckt und gelöscht worden.	On Sunday night, an above-ground fire had been discovered and extinguished.
Vergangene Woche war der Katastrophenfall aufgehoben worden, der gut eine Woche zuvor am 21. September ausgerufen wurde, weil befürchtet worden war, dass die Flammen durch Wind und Funkenflug angrenzende Wälder und Siedlungen in Gefahr bringen.	Last week, the state of emergency was lifted, which had been proclaimed a week earlier on September 21th, because it had been feared that the flames would spread by wind and flying sparks and thus endanger adjacent forests and settlements.
Donnerstag hieß es dann, ein Übergreifen des Brands auf angrenzende Gemeinden drohe nicht mehr.	On thursday, it was reported that there is no longer a threat of the fire spreading to adjacent communities.
Zeitweise versuchten vor Ort mehr als 1500 Einsatzkräfte, den Großbrand unter Kontrolle zu bekommen.	At times more than 1,500 deployment forces on site attempted to get the big fire under control.
Die Luftwaffe unterstützt die Arbeiten auf dem Bundeswehrtestgelände bei Meppen weiter mit einem Transporthubschrauber.	The German Air Force used a transport helicopter to support the work on the German Federal Armed Forces test site near Meppen.
Es gibt zudem Aufklärungsflüge mit Drohnen der Bundeswehr.	There are also reconnaissance flights with the Bundeswehr's drones.
Für den 2. und 5. Oktober sind laut Bundeswehr auch wieder Aufklärungsflüge mit "Tornados" geplant.	According to the German Federal Armed Forces, reconnaissance flights with “Tornadoes” are again planned for October 2 and 5.
Der Brand war durch Testraketen ausgelöst worden, die Airbus-Techniker abgefeuert hatten.	The fire was caused by test rockets, which the Airbus technicians had fired off.
Die Rauchfahne des Moorbrands war zeitweise bis zu hundert Kilometer weit über den Nordwesten Deutschlands bis nach Bremen gezogen.	The smoke draught of the moorland fires went up to a hundred kilometers far, even farther than the northwest of Germany, up to Bremen at times.
Am Montag will die Bundeswehr eine Ansprechstelle einrichten, die Schadensmeldungen entgegennimmt.	On Monday, the German Federal Armed Forces wants to set up a contact center to receive damage reports.
Erste Schadensersatzforderungen waren bereits von Hoteliers und Ferienhausbesitzern angekündigt worden.	The first damage claims have already been announced by hoteliers and vacation home owners.
SPD-Politiker: Johannes Kahrs heiratet seinen Freund	SPD Politician: Johannes Kahrs marries his boyfriend
Johannes Kahrs (SPD, r) und sein Ehemann Christoph Rohde verlassen nach ihrer Hochzeit die Hauptkirche St. Katharinen in Hamburg.	Johannes Kahrs (SPD, r) and his husband Christoph Rohde leave the main church St. Katharinen in Hamburg after their wedding.
Fast genau ein Jahr nach Inkrafttreten der Ehe für alle hat der Politiker seinen langjährigen Freund in Hamburg geheiratet.	Almost exactly a year after marriage became available for everyone, the politician has married his longtime boyfriend in Hamburg.
Die beiden sind seit 25 Jahren ein Paar.	The two have been together for 25 years.
Hamburg - Fast genau ein Jahr nach Inkrafttreten der Ehe für alle hat der SPD-Politiker Johannes Kahrs seinen langjährigen Freund Christoph Rohde geheiratet.	Hamburg - Almost a year after marriage came into force for everyone, the SPD politician Johannes Kahrs married his long-term boyfriend Christoph Rohde.
Die beiden gaben sich am Samstag in Hamburg das Jawort.	The two exchanged vows on Saturday in Hamburg.
Eine eingetragene Lebenspartnerschaft sei für sie nicht infrage gekommen, hatte Kahrs zuvor der "Bild"-Zeitung gesagt.	Kahrs previously told the “Bild” newspaper that a registered civil partnership was not for them.
Wenn wir heiraten, dann richtig.	If we get married, then right.
Er sei seit 25 Jahren mit seinem Partner zusammen.	He has been with his partner for 25 years.
Der 55-jährige Kahrs ist haushaltspolitischer Sprecher der SPD-Bundestagsfraktion und einer der Sprecher des Seeheimer Kreises, des konservativen SPD-Flügels.	The 55-year-old Kahrs is the fiscal policy speaker for the SPD parliamentary group in the German Bundestag and is one of the Seeheim region speakers of the conservative SPD wing.
In der Bundestagsdebatte über die Öffnung der Ehe für Homosexuelle hatte Kahrs am 30. Juni 2017 mit einer Wutrede Aufsehen erregt.	On June 30, 2017 Kahrs caused a huge stir about the opening of marriage to homosexuals in the Bundestag debate.
So hatte er Bundeskanzlerin Angela Merkel (CDU) vorgeworfen, sich bei dem Thema "verstolpert" zu haben.	He had accused Chancellor Angela Merkel (CDU) of "stumbling" on the subject.
"Das war Ihr Schabowski-Moment", meinte er in Anspielung auf die versehentliche Verkündung der DDR-Grenzöffnung durch Günter Schabowski.	He felt this was its Schabowski moment, alluding to the inadvertent announcement of the East German border opening by Günter Schabowski.
