Dominic Raab: Government can't make apologies for Spain quarantine decision	Dominic Raab：政府不能为隔离西班牙的决定道歉
Postdoctoral researcher Dr Luisa Cervantes-Barraganwas studying a kind of immune cell that promotes tolerance when she discovered that one group of study mice had such cells but another group of the same strain but housed separately did not.	博士后研究员路易莎?塞万提斯?巴拉甘 (Luisa Cervantes-Barraganwas) 研究了一种可增进耐受力的免疫细胞，当她发现一组研究小鼠有这样的细胞，但是另一组同样的菌株分开饲养时没有。
She suspected the difference had to do with the mice's gut microbiomes - the community of bacteria, viruses and fungi that normally live within the gastrointestinal tract.	她怀疑这种差异与小白鼠的肠道微生物 (指通常生活在胃肠道内的细菌，病毒和真菌) 群落有关。
The guts of the mice were DNA sequenced and it was found six bacterial species present in the mice with the immune cells but absent from the mice without them.	对小白鼠的胆固醇进行 DNA 测序，发现有 6 种细菌种群存在于具有免疫细胞的小鼠体内，但没有免疫细胞的小白鼠体内则没有。
Mice reared in a sterile environment so they lacked a gut microbiome and do not develop this kind of immune cell were given L. reuteri and the immune cells arose.	小白鼠在无菌环境中饲养，因此它们缺乏肠道微生物，并且不能出现这种免疫细胞，存在路氏乳杆菌则产生免疫细胞。
To understand how the bacteria affected the immune system, the researchers grew L. reuteri in liquid and then transferred small amounts of the liquid - without bacteria - to immature immune cells isolated from mice.	为了理解细菌如何影响免疫系统，研究人员在液体中培养路氏乳杆菌，然后将无细菌的少量液体转移到从小白鼠分离出的未成熟免疫细胞中。
The immune cells developed into the tolerance-promoting cells.	该免疫细胞发育成为具有耐受力的细胞。
When the active component was purified from the liquid, it turned out to be a byproduct of tryptophan metabolism known as indole-3-lactic acid.	当从液体中纯化出活性成分时，可以证明该活性成分是色氨酸代谢的副产物，称为吲哚-3-乳酸。
When the researchers doubled the amount of tryptophan in the mice's feed, the number of such cells rose by about 50 percent but when tryptophan levels were halved, the number of cells dropped by half.	当研究人员将小白鼠饲料中的色氨酸数量翻倍后，这类细胞的数量增加了大约 50％，但当色氨酸水平减半时，细胞数量减少了一半。
Dr Cervantes-Barragan explained people have the same tolerance-promoting cells as mice, and most of us shelter L. reuteri in our gastrointestinal tracts.	塞万提斯?巴拉甘 (Cervantes-Barragan) 博士解释说，人们和老鼠一样，具有相同的增进耐受力的细胞，我们大多数人在我们的胃肠道中存在着路氏乳杆菌。
It is not known whether tryptophan byproducts from L. reuteri induce the cells to develop in people as they do in mice, but defects in genes related to tryptophan have been found in people with inflammatory bowel disease.	人类是否可以像实验中的小白鼠一样将体内来自路氏乳杆菌的色氨酸副产物诱导细胞发育，目前尚未可知，但在炎症性肠病患者中发现与色氨酸有关的基因缺陷。
She said: 'The development of these cells is probably something we want to encourage since these cells control inflammation on the inner surface of the intestines.	她说：“这些细胞的发育可能正是我们想要得到的结果，因为这些细胞可以控制肠道内表面的炎症反应。
Potentially, high levels of tryptophan in the presence of L. reuteri may induce expansion of this population.'	可以不确切地说，在路氏乳杆菌中存在的高水平色氨酸可能会导致该菌种数量的增加。
Jose Mourinho thinks Manchester United have signed a 'genius' in Nemanja Matic	何塞·穆里尼奥认为曼联签下了“天才”内马尼亚·马蒂奇
Manchester United have signed a "genius" in Nemanja Matic, believes Jose Mourinho, after the midfielder made his debut against Sampdoria on Wednesday evening.	周三晚，内马尼亚·马蒂奇在桑普多利亚对抗赛首次亮相后，穆里尼奥认定曼联签下了一位“天才”中场球员。
The £40m signing from Chelsea started the 2-1 win in Dublin, United's final preseason game before the Uefa Super Cup against Real Madrid on Tuesday, and impressed in the holding role as the likes of Paul Pogba and Andreas Pereira marauded forward at will.	马蒂奇来自切尔西，签约金高达 4000 万英镑，周二在都柏林对阵皇家马德里的欧洲超级杯之前的联赛最后一场季前赛中开打 2-1，赢得了保罗·博格巴和安德烈亚斯·佩雷拉的青睐。
