ほのかが【田中みな実さん風ヘア】になる！	Honoka's New [Tanaka Minami hairstlye] Look!
天王寺動物園（大阪市天王寺区）は２８日、大阪府内で唯一飼育する雄のコアラ「アーク」の送別会を開いた。	On the 28th, Tennoji Zoo (Tennoji-ku, Osaka) held a farewell party for its male koala, Ark, the only male koala in Osaka prefecture.
繁殖のため１０月中旬に英国の動物園へ１０年間の貸し出しが決まっており、戻ってこない可能性が高い。	Setting out in mid-October, Ark will spend the next 10 years on loan at a zoo in England to participate in its breeding program, and it is unlikely that he will ever return.
「ありがとう 」 「 お元気で 」 。	"Thank you", "Take care".
ユーカリが生い茂るコアラ舎の前に集まった約６００人の来園客が別れを惜しんだ。	Approximately 600 visitors gathered in front of the eucalyptus-filled koala building for an emotional farewell.
アークは１２歳。	Ark is 12 years old.
コアラの飼育下の寿命は１５～２０年で 、 「 婿入り」した英国で天寿を全うするとみられる。	Koalas live for 15-20 years in captivity, and Ark is expected to live out the rest of his natural life with his new family in England.
担当の飼育員辻本英樹さん（４０）は「コアラの飼育に幕を下ろすのは切ない。感謝でいっぱい」と涙ぐんだ。	Ark's keeper Tsujimoto Hideki said tearfully, "It's sad to be no longer rearing koalas. I'm so grateful for what I had."
ソニー、プレイステーション４サプライズニュースを発表しPS４ゲームが昔風に	PS4 game goes old-school, as Sony reveals surprise PlayStation 4 news
ソニーが、販売予定のPS４限定ザ・ラスト・オブ・アス パート２の内容を明らかにした。	Sony has shed more light on upcoming PS4 exclusive The Last of Us: Part Two.
最近のステート・オブ・プレイ発表の一環として、ソニーはラスト・オブ・アスの続編の2020年2月のリリース日を発表した。	As part of Sony's recent State of Play presentation, Sony announced a February 2020 release date for the Last of Us sequel.
この新作アクションゲームの緊迫感あふれるゲームプイ映像の一部もファンに披露された。	Fans were also treated to some breathtaking new gameplay footage of the upcoming action game.
ラスト・オブ・アス２の大発表ニュースの数日後にさらに詳細が発表されている。	Even more details have been announced in the days since the big Last of Us 2 gameplay reveal.
ソニーとノーティドッグは色々な意味で昔風に戻るようだ。	And it looks like Sony and Naughty Dog are taking it back to the old-school in more ways than one.
PSワンの時代以来あまり見たことのない、ラスト・オブ・アス パート２が複数ディスクで発売される。	Something we haven't seen very often since the PSOne era, The Last of Us: Part 2 will ship on multiple discs.
テレグラフの素晴らしい取材の中で、ノーティドッグのニール・ドラックマンは、続編はこれまでで最大のゲームの一つに進化したとまで発表した。	Naughty Dog's Neil Druckmann confirmed as much in an excellent interview with The Telegraph, explaining that the sequel evolved into one of the biggest games ever.
「前作とは違った意味で、ストーリーは壮大で複雑だ」とドラックマンは語った。	"This story is ambitious and complex in ways that the first one wasn't," he said.
そして、このようにたくさんの登場人物がいるストーリーを語るにはそれだけ大きくする必要があったとした。	And it needed to be that big to tell this kind of story with this many characters.
史上最大のゲームをつくるつもりではなかったが、結局あそこまで進化してしまった。	We didn't set out to make the biggest game ever, it just kind of evolved that way.
「このストーリーがどれだけ展開していくのかワクワクした、ユーザーはこれが終わりと感じる瞬間があるが、実はそれは始まりであり、他のセクション全部が始まると気付く」と続けた。	"We got excited by how much this story has to offer, and there's going to be moments where you'll think you're getting to the end and you'll realise it was just the opening part and it's opened up to this whole other section," Druckmann continues.
ゲームはあまりに壮大で一枚のブルーレイに入りきらず、ディスク２枚分となった。	It's so ambitious the game doesn't fit on one BluRay, it's on two discs.
他にも、ラスト・オブ・アス パート２には、職場で開くとまずいイースターエッグ（Gamespot経由）が１つか２つ含まれているという。	Elsewhere, it was revealed that The Last of Us: Part Two contains one or two not safe for work Easter eggs (via Gamespot).
